(3, 2, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(3, 1, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(2, 6, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(2, 11, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(1, 4, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(1, 5, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(1, 9, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 6, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 13, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(5, 7, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(5, 8, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 8, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 16, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 15, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 14, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 15, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(9, 10, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(10, 16, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(11, 13, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 12, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 17, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 13, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 18, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 19, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 20, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 20, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(17, 19, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(20, 21, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(21, 19, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
