(3, 2, {'free_bw': 27.999354761429426, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0006452385705729686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(3, 1, {'free_bw': 38.99946656019166, 'delay': 29.248714447021484, 'loss': 0.0, 'used_bw': 0.0005334398083449791, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 6, {'free_bw': 20.999274905170694, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0007250948293072469, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.999466453674124, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005335463258785939, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.999242811501595, 'delay': 0.8569955825805664, 'loss': 0.0, 'used_bw': 0.0007571884984025556, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 31.999466560191657, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005334398083449791, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(1, 9, {'free_bw': 6.999258933918946, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0007410660810541036, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.999274905170694, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0007250948293072469, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.99935463258786, 'delay': 23.548483848571777, 'loss': 0.0, 'used_bw': 0.0006453674121405747, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 4.999242962667199, 'delay': 11.185526847839355, 'loss': 0.0, 'used_bw': 0.0007570373328009582, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(5, 8, {'free_bw': 30.99933879017768, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0006612098223198243, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 15.999466453674122, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005335463258785939, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.0})
(7, 16, {'free_bw': 10.999466560191655, 'delay': 3.5992860794067383, 'loss': 0.0, 'used_bw': 0.0005334398083449791, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 15, {'free_bw': 32.999466453674124, 'delay': 2.6873350143432617, 'loss': 0.0, 'used_bw': 0.0005335463258785939, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(8, 14, {'free_bw': 29.99946645367412, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005335463258785939, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(8, 15, {'free_bw': 7.999354761429427, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0006452385705729686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.999370732681175, 'delay': 2.8150081634521484, 'loss': 0.0, 'used_bw': 0.000629267318826113, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 25.999258933918945, 'delay': 3.511190414428711, 'loss': 0.0, 'used_bw': 0.0007410660810541026, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 33.99935476142943, 'delay': 3.745555877685547, 'loss': 0.0, 'used_bw': 0.0006452385705729686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 12, {'free_bw': 33.99935476142943, 'delay': 44.43788528442383, 'loss': 0.0, 'used_bw': 0.0006452385705729686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 17, {'free_bw': 20.9992429626672, 'delay': 6.206989288330078, 'loss': 0.0, 'used_bw': 0.0007570373328009582, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 13, {'free_bw': 17.999466560191657, 'delay': 1.587986946105957, 'loss': 0.0, 'used_bw': 0.0005334398083449791, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(16, 18, {'free_bw': 21.999370732681175, 'delay': 22.204041481018066, 'loss': 0.0, 'used_bw': 0.000629267318826113, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(15, 19, {'free_bw': 22.99914696485623, 'delay': 2.124786376953125, 'loss': 0.0, 'used_bw': 0.0008530351437699675, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(15, 20, {'free_bw': 22.999258933918945, 'delay': 22.16184139251709, 'loss': 0.0, 'used_bw': 0.0007410660810541026, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(18, 20, {'free_bw': 13.999370732681173, 'delay': 2.799391746520996, 'loss': 0.0, 'used_bw': 0.000629267318826113, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(17, 19, {'free_bw': 29.99925878594249, 'delay': 8.579850196838379, 'loss': 0.0, 'used_bw': 0.0007412140575079868, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(20, 21, {'free_bw': 38.99935476142943, 'delay': 30.762791633605957, 'loss': 0.0, 'used_bw': 0.0006452385705729686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 19, {'free_bw': 27.999370732681175, 'delay': 73.92323017120361, 'loss': 0.0, 'used_bw': 0.0006292673188261138, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
