0: {(3, 4): [3, 6, 4], (3, 7): [3], (4, 7): [4, 9, 7], (4, 14): [4, 9, 8, 14]}
1: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (14, 7): [14, 8, 5, 7]}
2: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
3: {(3, 14): [3, 1, 11, 14], (14, 4): [14, 11, 4], (14, 7): [14, 11, 1, 5, 7]}
4: {(3, 14): [3, 1, 11, 14], (14, 4): [14, 11, 4], (14, 7): [14, 11, 1, 5, 7]}
5: {(3, 4): [3, 6, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
6: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
7: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
8: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
9: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
10: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
11: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
12: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
13: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
14: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
15: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
16: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
17: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
18: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
19: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
20: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
21: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
