0: {(3, 4): [3, 1, 4], (4, 7): [4, 5, 7], (7, 14): [7, 5, 8, 14]}
1: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
2: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
3: {(3, 4): [3, 1, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
4: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
5: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
6: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
7: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
8: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
9: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
10: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
11: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
12: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
13: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
14: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
15: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
16: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
17: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
18: {(3, 4): [3, 6, 4], (4, 7): [4, 5, 7], (4, 14): [4, 5, 8, 14]}
