0: {(1, 19): [1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 1, 3, 1, 5, 7, 16], (1, 11): [1, 3, 2, 11]}
1: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 1, 4, 1, 5, 8, 15, 19], (1, 16): [1, 1, 4, 1, 9, 1, 5, 7, 16]}
2: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 1, 1, 9, 1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 1, 4, 1, 9, 10, 16]}
3: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
4: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 3, 1, 5, 8, 15, 19], (1, 16): [1, 9, 10, 16]}
5: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
6: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
7: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
8: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
9: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
10: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
11: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
12: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
13: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
